Date/Time,Lat,Lon,Base
6/24/14 12:17,40.7685,-73.9535,B02512
4/16/14 12:19,40.7684,-73.9599,B02512
5/22/14 12:19,40.7728,-73.9673,B02512
4/29/14 12:19,40.7702,-73.9577,B02512
5/9/14 12:20,40.7647,-73.9796,B02512
4/12/14 12:20,40.7868,-73.972,B02512
5/29/14 12:20,40.7178,-74.0035,B02512
6/12/14 12:24,40.7732,-73.8857,B02512
7/4/14 12:26,40.7257,-73.9919,B02512
4/17/14 12:26,40.695,-74.178,B02512
6/17/14 12:27,40.7644,-73.9796,B02512
5/18/14 12:29,40.7641,-73.9766,B02512
7/3/14 12:29,40.723,-74.0012,B02512
5/12/14 12:29,40.7326,-73.9935,B02512
4/14/14 12:30,40.7569,-73.9742,B02512
4/26/14 12:31,40.7622,-73.9788,B02512
6/24/14 12:31,40.7785,-73.9533,B02512
7/4/14 12:32,40.7447,-73.9873,B02512
5/24/14 12:32,40.7191,-73.9973,B02512
6/9/14 12:33,40.7031,-73.9853,B02512
6/3/14 12:42,40.9148,-74.2213,B02512
6/19/14 12:44,40.7649,-73.9708,B02512
4/18/14 12:44,40.7521,-73.9756,B02512
6/29/14 12:47,40.7374,-74.0008,B02512
6/25/14 12:50,40.7749,-73.9639,B02512
4/6/14 12:50,40.7763,-73.9621,B02512
6/28/14 12:51,40.749,-74.0029,B02512
5/12/14 12:51,40.7276,-74.0349,B02512
4/29/14 12:51,40.7276,-74.0349,B02512
6/6/14 12:51,40.7631,-73.9842,B02512
5/23/14 12:52,40.7601,-73.9669,B02512
6/10/14 12:53,40.8791,-73.8811,B02512
5/24/14 12:54,40.771,-73.866,B02512
5/6/14 12:57,40.7364,-74.0099,B02512
4/20/14 12:57,40.7657,-73.9549,B02512
7/2/14 12:57,40.75,-73.9757,B02512
6/30/14 12:58,40.7397,-73.9857,B02512
5/20/14 12:58,40.779,-74.42,B02512
6/5/14 12:59,40.7273,-74.0007,B02512
5/27/14 13:01,40.7684,-73.8624,B02512
4/27/14 13:01,40.7393,-73.9954,B02512
5/18/14 13:01,40.7382,-74.0078,B02512
4/18/14 13:03,40.7187,-74.0024,B02512
6/1/14 13:07,40.7618,-73.9752,B02512
4/4/14 13:07,40.7851,-73.9538,B02512
5/6/14 13:07,40.7851,-73.9538,B02512
5/25/14 13:08,40.742,-73.985,B02512
6/3/14 13:08,40.7458,-73.987,B02512
7/5/14 13:09,40.7699,-73.9589,B02512
5/6/14 13:09,40.76,-73.9839,B02512
6/22/14 13:10,40.9155,-74.0761,B02512
5/12/14 13:15,40.7516,-73.9739,B02512
5/20/14 13:16,40.774,-73.8733,B02512
4/10/14 13:17,40.7565,-73.9843,B02512
