,Zip Code,Predicted Total Sales,Predicted Dollar/liter,Store Count,Area (sqkm),Stores per sqkm,Zip Sales - Total,Dollar per liter
3905,50435,-66438.6460724,12.5183302918,1.0,105.304339,0.00949628485869,186347.64,14.8799083958
3917,50436,306957.554016,13.1099688598,2.0,354.034151,0.00564917252856,676827.72,11.7766597833
3941,50438,392651.499675,12.3139081753,1.0,342.63578,0.0029185510048,188554.8,10.3187653916
3953,50439,-24322.7455065,9.70053274491,,,,,
3954,50441,454088.440995,13.7730130408,4.0,395.662654,0.0101096223249,578120.7,12.4751590089
3999,50444,38929.6544025,11.7979849591,,,,,
4000,50446,224294.37536,9.67084855866,,,,,
4001,50447,-4555.43700355,2.85535605608,,,,,
4002,50448,203312.332319,10.1617944688,,,,,
4003,50449,199100.224962,11.9567017593,,,,,
4004,50451,97915.567333,13.7654536446,,,,,
4005,50452,-51232.7670356,4.62614774473,1.0,127.424687,0.00784777285739,6198.12,9.06157894737
4011,50453,77658.1349126,6.20277066155,,,,,
4012,50454,-68693.467207,90.5869113517,,,,,
4013,50455,-261453.307927,17.7354118803,,,,,
4014,50456,276522.35729,13.2285333672,1.0,120.430473,0.00830354622953,22051.4,12.6951065055
4024,50457,110538.236503,10.7686719528,,,,,
4025,50458,261794.5535,13.4529234778,1.0,190.798489,0.00524113165278,47176.25,13.8409281611
4036,50459,398508.165092,12.784548042,2.0,375.483499,0.00532646575769,283514.88,11.2801875397
4060,50461,848298.098303,13.556050089,2.0,446.474922,0.00447953491103,303706.92,11.4377112746
4084,50464,53068.1256106,10.5568609918,,,,,
4085,50465,193116.641172,11.2319660575,,,,,
4086,50466,51591.1363133,7.52226985051,1.0,354.341172,0.00282213888484,25681.59,11.7027067669
4097,50468,35796.045348,13.2152757642,,,,,
4098,50469,-17440.9622362,-25.0700745513,1.0,227.879604,0.00438828215622,92652.96,12.1904731831
4110,50471,155173.455399,29.001717965,,,,,
4111,50472,143810.248309,14.3845459955,2.0,316.41701,0.00632077270435,150380.76,11.8601490595
4129,50473,-226213.879183,14.7450302621,,,,,
4130,50475,147363.708508,14.8066143491,1.0,231.102519,0.00432708394667,25275.78,11.5572839506
4139,50476,58615.3415604,12.0563579886,,,,,
4140,50477,-116430.822967,18.3419461375,,,,,
4141,50478,202251.14991,12.9021642391,,,,,
4142,50479,82022.8716077,1210.69443154,,,,,
4143,50482,270341.002688,20.9662653551,,,,,
4144,50483,-85049.3788448,12.5925656864,1.0,198.210428,0.00504514323535,278922.12,13.7302391796
4156,50484,-7931.3932844,4.22577051344,,,,,
4157,50501,2944643.35382,12.7285281095,15.0,407.21578,0.0368355077006,2961110.86,12.1759572541
4320,50511,581742.108036,12.3437293042,3.0,321.723723,0.0093247708687,1374870.36,12.5346020458
4356,50514,116620.608735,12.5107516286,1.0,287.766282,0.00347504229144,21164.4,10.8535384615
4366,50515,-46530.8727481,10.4879095626,,,,,
4367,50516,248824.135858,15.3519728757,,,,,
4368,50517,33900.59577,8.63278085404,1.0,198.110964,0.00504767621039,393926.4,14.1339981142
4380,50518,53731.9119621,19.2889244345,,,,,
4381,50519,-108891.546029,9.60583077694,,,,,
4382,50521,-235325.656577,7.12301825119,,,,,
4383,50522,-39415.0788713,13.9735068968,,,,,
4384,50523,129998.278138,16.4204107924,,,,,
4385,50524,-31044.0615394,17.478056208,,,,,
4386,50525,139627.676517,10.2302966567,3.0,363.773781,0.00824688352127,142722.17,12.1796860399
4416,50527,-127388.580287,12.5747521331,,,,,
4417,50528,17053.3974967,25.1990658966,,,,,
4418,50529,363869.655518,12.2873274609,1.0,1.445412,0.691844263089,15783.36,9.85967016492
4426,50531,-41573.2453651,38.1991437671,,,,,
4427,50532,56818.3343879,8.7018041636,,,,,
4428,50533,295379.613167,11.6569226753,2.0,258.50312,0.00773685052621,404737.68,11.3566584733
4452,50535,28087.3043787,21.8668552156,1.0,158.492375,0.00630945179539,19580.64,11.9452415813
4460,50536,454611.055239,12.3068757675,6.0,370.232494,0.0162060329583,535085.85,13.1602327143
4518,50538,-14791.1384809,28.3315337364,,,,,
4519,50539,-130966.481094,9.51354414585,,,,,
4520,50541,-2462.76665077,-35.5736148379,1.0,237.749663,0.00420610480529,13273.2,8.93818181818
4529,50542,143885.75024,13.2476482271,1.0,172.884137,0.00578422067723,5131.2,12.2171428571
4534,50543,75804.2188704,102.118185859,2.0,212.824794,0.0093974013197,114750.96,14.1609634558
4549,50544,-176042.38135,10.2615328833,,,,,
4550,50545,-31273.5145889,3.67660034682,,,,,
4551,50546,-235093.23207,15.2236579989,,,,,
4552,50548,713236.013422,13.3051036188,2.0,323.465219,0.00618304498451,555671.76,13.5120250247
4576,50551,-272947.916384,12.4798738708,,,,,
4577,50554,167906.7046,15.4875487779,2.0,232.762069,0.00859246529554,123808.08,9.78531255631
4595,50556,-39947.7117681,6.06412801567,,,,,
4596,50557,268913.027952,12.7413852443,,,,,
4597,50558,-146096.056146,12.9284561982,,,,,
4598,50559,-26561.2548288,5.53910233853,,,,,
4599,50561,31343.3430511,-8.20613595833,,,,,
4600,50562,-122003.681134,14.9788194719,,,,,
4601,50563,242434.369049,15.0714057223,3.0,253.318021,0.0118428210838,122421.09,13.4995219743
4626,50565,-18206.2738314,7.1921975983,,,,,
4627,50566,-18621.1384126,3.27399011314,,,,,
4628,50567,90353.8195911,270.951939447,,,,,
4629,50568,250429.61664,17.1946117036,,,,,
4630,50569,253605.157308,10.200647347,1.0,54.889709,0.018218351276,14880.48,12.039223301
4638,50571,-215432.89919,16.3555472876,,,,,
4639,50573,-206261.545063,16.5220037793,,,,,
4640,50574,201442.169692,19.7447563328,1.0,288.134473,0.00347060172838,258333.24,10.7863205467
4652,50575,101386.14186,61.9241334445,,,,,
4653,50576,5752.43173097,-1.94613398508,,,,,
4654,50577,-10127.2980968,1.90665105015,,,,,
4655,50578,31889.4545403,445.72649227,,,,,
4656,50579,98700.9710221,24.9659371341,3.0,359.119951,0.00835375475978,50626.5,9.61928702532
4681,50581,-28155.8561614,8.58428711757,1.0,246.722485,0.00405313686752,14097.06,12.1186847195
4690,50582,-142276.33739,16.0842165002,,,,,
4691,50583,416426.302768,13.1718390346,2.0,306.359541,0.00652827717874,364711.68,11.8684624667
4715,50585,142394.460498,13.2155661033,2.0,165.291906,0.0120998060244,93110.52,11.5298007341
4732,50586,82725.8399934,12.135843152,,,,,
4733,50588,1160588.59099,12.9517623726,10.0,368.993698,0.0271007338451,1939427.94,14.9601402163
4827,50591,-19542.9280577,3.76281341623,,,,,
4828,50593,15976.9734063,3.51671444024,,,,,
4829,50594,43131.4049217,9.1828615025,,,,,
4830,50595,1168960.30745,13.2711870286,5.0,399.609138,0.0125122263846,841035.08,12.3828949441
4888,50597,-50756.0854276,12.7284826576,1.0,214.240511,0.00466765130149,128172.84,10.2217065095
4900,50598,146809.610584,18.6547586774,,,,,
4901,50599,-6466.28909562,-1.59151834953,,,,,
4902,50601,82041.0500461,9.46418271974,2.0,368.01212,0.00543460362121,67971.32,11.6384065093
4925,50602,181220.398471,12.4285878677,3.0,207.455662,0.0144609212931,97468.2,9.91861033093
4957,50603,94099.2138524,8.4140149751,,,,,
4958,50604,270504.009806,14.3827651937,,,,,
4959,50605,-189357.381343,25.8854947813,,,,,
4960,50606,113399.095041,19.5782660044,1.0,184.315162,0.00542548962955,24856.37,9.81952894142
4971,50607,270194.238553,17.9206137239,,,,,
4972,50609,149650.918094,15.4557160797,,,,,
4973,50611,163056.545736,7.64709053411,,,,,
4974,50612,89871.8262788,-11.5514328324,,,,,
4975,50613,3949671.69827,13.8800804632,16.0,329.972902,0.0484888301525,4421267.86,13.8745025754
5160,50616,533177.719044,11.6553715847,5.0,448.105088,0.011158096915,1109007.04,12.7892855759
5204,50619,276496.852534,11.5276724508,2.0,230.86623,0.00866302533723,56410.01,12.45930682
5224,50621,283077.318011,16.9289389671,2.0,165.399151,0.0120919604962,56301.9,11.6529443906
5246,50622,177334.463859,20.6140477893,2.0,64.857976,0.0308366082839,118354.76,10.8367601817
5260,50624,109027.651844,18.2341435575,,,,,
5261,50625,-18758.3521202,11.4573816956,,,,,
5262,50626,11642.6761124,4.83769844221,,,,,
5263,50627,-123814.189179,-144.10149683,3.0,277.223505,0.0108215932123,272238.69,11.5139880148
5296,50628,-61903.1236258,40.7139681335,1.0,289.356789,0.00345594103202,81807.22,13.6974307026
5307,50629,219269.849846,13.4681413376,1.0,205.328666,0.00487024057323,51536.52,11.2944378698
5319,50632,70720.6691599,11.4171507289,,,,,
5321,50633,-142989.762525,15.2555044078,,,,,
5322,50634,197639.690063,12.7977695848,,,,,
5323,50635,123220.981347,13.5562460032,1.0,217.592812,0.00459574004678,35348.17,11.5488589398
5334,50636,24101.4293957,-52.5792774766,1.0,313.519052,0.0031895988254,47269.92,11.1081157295
5346,50638,484531.73443,14.3865549233,4.0,245.826479,0.0162716401271,229223.23,11.9198058288
5382,50641,263018.461813,14.8787849126,1.0,123.019787,0.00812877362566,37078.58,13.3814211989
5393,50642,-94338.7008581,18.2725298689,,,,,
5394,50643,57944.6086846,17.9119474118,2.0,163.108458,0.0122617798275,38841.29,13.2309896002
5404,50644,278610.680556,8.73616830898,4.0,372.595201,0.0107355113251,1142757.24,12.7670447766
5452,50645,212171.388893,13.3600765687,,,,,
5453,50647,224126.396271,11.4609957897,1.0,79.06534,0.0126477670241,206289.72,14.3011247359
5465,50648,6788.42129032,1.11628050076,1.0,223.212718,0.00448003146487,90247.2,12.2635140644
5477,50651,359367.153143,13.917243586,1.0,294.627077,0.00339412117237,140857.92,12.3047958488
5489,50652,115067.260802,11.5147891917,,,,,
5490,50653,-9895.03642174,-2.21549731793,,,,,
5491,50654,201548.850295,14.5973473027,,,,,
5492,50655,203362.38166,19.0602811307,,,,,
5493,50658,245250.098114,13.4591773376,1.0,187.097603,0.00534480390965,58550.88,12.6552716898
5505,50659,503528.466206,11.4681870112,2.0,403.802766,0.00495291307638,251743.2,10.6181512656
5529,50662,915584.110148,13.736934868,5.0,176.049517,0.0284011003563,866647.52,12.7299897766
5571,50665,421373.558034,14.6728306463,1.0,253.290828,0.00394803083829,87067.8,11.094266055
5583,50666,201802.967247,9.66813280103,,,,,
5584,50667,-27349.8696985,-6.9956790668,1.0,5.217793,0.191651911067,66282.04,16.0013808854
5595,50668,101260.597804,10.1975828991,,,,,
