,Store Number,Zip Code,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters)
565,3744,52040,2016,382,5593.86,471.3
566,3747,52591,2015,777,9245.21,817.25
567,3747,52591,2016,255,2898.41,256.87
568,3749,50588,2015,1404,20477.28,1710.0
569,3749,50588,2016,282,3956.28,364.5
570,3756,51455,2015,850,11264.0,810.8
571,3756,51455,2016,96,1489.54,102.5
572,3757,51108,2015,3666,52098.9,4050.0
573,3757,51108,2016,1002,13975.02,1093.5
574,3761,50851,2015,150,1890.37,146.5
575,3762,50322,2015,1997,28823.1,1817.06
576,3762,50322,2016,564,7304.9,506.51
577,3763,51023,2015,1045,13500.68,1062.24
578,3763,51023,2016,207,2825.2,226.5
579,3766,50659,2015,761,8716.96,845.23
580,3766,50659,2016,15,130.81,16.5
581,3769,50613,2015,3936,55042.92,4584.0
582,3769,50613,2016,822,10626.06,937.5
583,3772,50314,2015,3592,26845.27,1334.65
584,3772,50314,2016,1444,10185.88,494.3
585,3773,52401,2015,13183,232460.41,12564.22
586,3773,52401,2016,3716,66202.79,3634.6
587,3774,52001,2015,2157,15309.07,1724.25
588,3774,52001,2016,318,2665.62,309.75
589,3776,52806,2015,3606,51421.2,3595.5
590,3776,52806,2016,708,9287.52,744.0
591,3778,50310,2015,1230,10820.72,608.77
592,3778,50310,2016,318,2863.85,138.52
593,3779,50501,2015,483,5435.14,459.4
594,3779,50501,2016,158,1676.12,145.15
595,3782,52052,2015,798,11397.73,887.3
596,3782,52052,2016,179,2112.26,177.5
597,3783,50574,2015,1670,21527.77,1995.84
598,3783,50574,2016,414,4561.96,407.36
