,zip,primary_city,county,state,County#
110,50145,LIBERTY CENTER,Warren,IA,91
111,50146,LINDEN,Dallas,IA,25
112,50147,LINEVILLE,Wayne,IA,93
113,50148,LISCOMB,Marshall,IA,64
114,50149,LORIMOR,Union,IA,88
115,50150,LOVILIA,Monroe,IA,68
116,50151,LUCAS,Lucas,IA,59
117,50152,LUTHER,Boone,IA,8
118,50153,LYNNVILLE,Jasper,IA,50
119,50154,MC CALLSBURG,Story,IA,85
120,50155,MACKSBURG,Madison,IA,61
121,50156,MADRID,Boone,IA,8
122,50157,MALCOM,Poweshiek,IA,79
123,50158,MARSHALLTOWN,Marshall,IA,64
124,50160,MARTENSDALE,Warren,IA,91
125,50161,MAXWELL,Story,IA,85
126,50162,MELBOURNE,Marshall,IA,64
127,50163,MELCHER-DALLAS,Marion,IA,63
128,50164,MENLO,Guthrie,IA,39
129,50165,MILLERTON,Wayne,IA,93
130,50166,MILO,Warren,IA,91
131,50167,MINBURN,Dallas,IA,25
132,50168,MINGO,Jasper,IA,50
133,50169,MITCHELLVILLE,Polk,IA,77
134,50170,MONROE,Jasper,IA,50
135,50171,MONTEZUMA,Poweshiek,IA,79
136,50173,MONTOUR,Tama,IA,86
137,50174,MURRAY,Clarke,IA,20
138,50201,NEVADA,Story,IA,85
139,50206,NEW PROVIDENCE,Hardin,IA,42
140,50207,NEW SHARON,Mahaska,IA,62
141,50208,NEWTON,Jasper,IA,50
142,50210,NEW VIRGINIA,Warren,IA,91
143,50211,NORWALK,Warren,IA,91
144,50212,OGDEN,Boone,IA,8
145,50213,OSCEOLA,Clarke,IA,20
146,50214,OTLEY,Marion,IA,63
147,50216,PANORA,Guthrie,IA,39
148,50217,PATON,Greene,IA,37
149,50218,PATTERSON,Madison,IA,61
150,50219,PELLA,Marion,IA,63
151,50220,PERRY,Dallas,IA,25
152,50222,PERU,Madison,IA,61
153,50223,PILOT MOUND,Boone,IA,8
154,50225,PLEASANTVILLE,Marion,IA,63
155,50226,POLK CITY,Polk,IA,77
156,50227,POPEJOY,Franklin,IA,35
157,50228,PRAIRIE CITY,Jasper,IA,50
158,50229,PROLE,Warren,IA,91
159,50230,RADCLIFFE,Hardin,IA,42
160,50231,RANDALL,Hamilton,IA,40
161,50232,REASNOR,Jasper,IA,50
162,50233,REDFIELD,Dallas,IA,25
163,50234,RHODES,Marshall,IA,64
164,50235,RIPPEY,Greene,IA,37
165,50236,ROLAND,Story,IA,85
166,50237,RUNNELLS,Polk,IA,77
167,50238,RUSSELL,Lucas,IA,59
168,50239,SAINT ANTHONY,Marshall,IA,64
169,50240,SAINT CHARLES,Madison,IA,61
170,50241,SAINT MARYS,Warren,IA,91
171,50242,SEARSBORO,Poweshiek,IA,79
172,50243,SHELDAHL,Story,IA,85
173,50244,SLATER,Story,IA,85
174,50246,STANHOPE,Hamilton,IA,40
175,50247,STATE CENTER,Marshall,IA,64
176,50248,STORY CITY,Story,IA,85
177,50249,STRATFORD,Hamilton,IA,40
178,50250,STUART,Adair,IA,1
179,50251,SULLY,Jasper,IA,50
180,50252,SWAN,Marion,IA,63
181,50254,THAYER,Union,IA,88
182,50255,THORNBURG,Keokuk,IA,54
183,50256,TRACY,Marion,IA,63
184,50257,TRURO,Madison,IA,61
185,50258,UNION,Hardin,IA,42
186,50259,GIFFORD,Hardin,IA,42
187,50261,VAN METER,Madison,IA,61
188,50262,VAN WERT,Decatur,IA,27
189,50263,WAUKEE,Dallas,IA,25
190,50264,WELDON,Decatur,IA,27
191,50265,WEST DES MOINES,Polk,IA,77
192,50266,WEST DES MOINES,Dallas,IA,25
193,50268,WHAT CHEER,Keokuk,IA,54
194,50269,WHITTEN,Hardin,IA,42
195,50271,WILLIAMS,Hamilton,IA,40
196,50272,WILLIAMSON,Lucas,IA,59
197,50273,WINTERSET,Madison,IA,61
198,50274,WIOTA,Cass,IA,15
199,50275,WOODBURN,Clarke,IA,20
200,50276,WOODWARD,Dallas,IA,25
201,50277,YALE,Guthrie,IA,39
202,50278,ZEARING,Story,IA,85
203,50301,DES MOINES,Polk,IA,77
204,50302,DES MOINES,Polk,IA,77
205,50303,DES MOINES,Polk,IA,77
206,50304,DES MOINES,Polk,IA,77
207,50305,DES MOINES,Polk,IA,77
208,50306,DES MOINES,Polk,IA,77
