,Store Number,Zip Code,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters)
512,3692,52314,2015,1261,16331.52,1279.25
513,3695,51050,2015,773,10120.82,837.35
514,3695,51050,2016,185,2431.38,170.25
515,3696,50315,2015,810,13050.3,844.5
516,3696,50315,2016,174,3008.58,184.5
517,3698,50266,2015,730,13544.38,576.3
518,3698,50266,2016,132,2257.9,113.2
519,3700,51521,2015,2097,31242.73,2157.16
520,3700,51521,2016,398,4780.2,411.83
521,3704,50536,2015,1460,22466.76,1606.7
522,3704,50536,2016,563,8299.14,621.25
523,3705,51246,2015,2097,29694.56,2189.0
524,3705,51246,2016,564,5997.76,476.57
525,3707,52402,2015,1599,27494.16,1555.95
526,3707,52402,2016,264,4543.14,270.0
527,3710,52738,2015,1740,5657.64,381.0
528,3710,52738,2016,505,1858.8,105.37
529,3712,50171,2015,835,14675.45,971.0
530,3712,50171,2016,124,1981.88,140.0
531,3713,50401,2015,3180,47366.88,3891.0
532,3713,50401,2016,558,7752.24,703.5
533,3715,52807,2015,2276,16548.95,903.81
534,3715,52807,2016,492,4066.48,202.85
535,3717,50674,2015,632,9022.86,685.53
536,3717,50674,2016,169,2510.46,187.0
537,3719,50158,2015,1710,25413.66,2020.5
538,3719,50158,2016,288,4581.78,360.0
539,3721,52101,2015,3492,49072.02,3745.5
540,3721,52101,2016,744,10660.26,807.0
541,3722,51106,2015,2352,33500.22,2653.5
542,3722,51106,2016,600,9471.96,630.0
543,3723,51040,2015,2264,27713.0,2015.71
544,3723,51040,2016,635,6404.17,468.7
545,3726,52501,2015,1524,22019.1,1824.0
546,3726,52501,2016,414,6666.36,496.5
547,3728,51503,2015,2374,30198.98,1956.59
548,3728,51503,2016,785,10666.58,664.43
549,3731,52807,2015,3288,46132.38,3407.9
550,3731,52807,2016,756,10577.22,831.0
551,3732,52748,2015,2012,29187.48,2311.38
552,3732,52748,2016,377,5548.3,417.75
553,3735,52577,2015,2324,27677.41,2135.2
554,3735,52577,2016,457,4686.4,435.55
555,3738,52001,2015,1405,12549.05,1337.65
556,3738,52001,2016,430,2629.64,260.28
557,3740,50702,2015,1682,24676.94,1610.27
558,3740,50702,2016,316,5587.74,333.56
559,3742,51031,2015,1098,16030.44,1197.0
560,3742,51031,2016,258,3741.12,319.5
561,3744,52040,2015,1625,21456.81,1751.62
562,3744,52040,2016,382,5593.86,471.3
563,3747,52591,2015,777,9245.21,817.25
564,3747,52591,2016,181,2082.9,176.37
565,3749,50588,2015,1404,20477.28,1710.0
566,3749,50588,2016,282,3956.28,364.5
567,3756,51455,2015,850,11264.0,810.8
568,3756,51455,2016,96,1489.54,102.5
569,3757,51108,2015,3666,52098.9,4050.0
570,3757,51108,2016,1002,13975.02,1093.5
571,3761,50851,2015,150,1890.37,146.5
572,3762,50322,2015,1993,28529.49,1813.81
573,3762,50322,2016,564,7304.9,506.51
574,3763,51023,2015,1045,13500.68,1062.24
575,3763,51023,2016,207,2825.2,226.5
576,3766,50659,2015,761,8716.96,845.23
577,3766,50659,2016,15,130.81,16.5
578,3769,50613,2015,3936,55042.92,4584.0
579,3769,50613,2016,822,10626.06,937.5
580,3772,50314,2015,3592,26845.27,1334.65
581,3772,50314,2016,1336,8810.08,460.4
582,3773,52401,2015,13168,232066.78,12549.97
583,3773,52401,2016,3698,65847.53,3619.6
584,3774,52001,2015,2157,15309.07,1724.25
585,3774,52001,2016,318,2665.62,309.75
586,3776,52806,2015,3606,51421.2,3595.5
587,3776,52806,2016,708,9287.52,744.0
588,3778,50310,2015,1230,10820.72,608.77
589,3778,50310,2016,318,2863.85,138.52
590,3779,50501,2015,483,5435.14,459.4
591,3779,50501,2016,158,1676.12,145.15
592,3782,52052,2015,798,11397.73,887.3
593,3782,52052,2016,177,2070.68,176.0
594,3783,50574,2015,1670,21527.77,1995.84
595,3783,50574,2016,414,4561.96,407.36
596,3784,50644,2015,1829,25800.13,1794.39
597,3784,50644,2016,255,4772.14,275.05
598,3785,50315,2015,1653,13057.3,962.15
