member_number,date_joined,date_expired,status,member_level,2016 Full Year Member
4511,2006,2017,Active,Primary,Yes
4512,2006,2012,Expired,Primary,No
4514,2006,2017,Active,Primary,Yes
4518,2006,2016,Expired,Primary,Yes
4523,2006,2010,Expired,Primary,No
4529,2006,2012,Expired,Primary,No
4552,2006,2014,Expired,Primary,No
4557,2006,2010,Expired,Primary,No
4575,2006,2017,Active,Primary,Yes
4587,2006,2010,Expired,Primary,No
4591,2006,2010,Expired,Primary,No
4593,2006,2010,Expired,Primary,No
4606,2006,2015,Expired,Primary,No
4611,2006,2011,Expired,Primary,No
4633,2006,2014,Expired,Primary,No
4640,2006,2010,Expired,Primary,No
4642,2006,2015,Expired,Primary,No
4643,2006,2011,Expired,Primary,No
4654,2006,2017,Active,Primary,Yes
4656,2006,2010,Expired,Primary,No
4658,2006,2015,Expired,Primary,No
4660,2006,2017,Active,Primary,Yes
4663,2006,2010,Expired,Primary,No
4671,2006,2017,Active,Primary,Yes
4679,2006,2017,Active,Primary,Yes
4684,2006,2011,Expired,Primary,No
4686,2006,2010,Expired,Primary,No
4695,2006,2012,Expired,Primary,No
4733,2006,2016,Expired,Primary,Yes
4744,2006,2011,Expired,Primary,No
4751,2006,2010,Expired,Primary,No
4760,2006,2016,Expired,Primary,Yes
4767,2006,2015,Expired,Primary,No
4770,2006,2014,Expired,Primary,No
4773,2006,2015,Expired,Primary,No
4775,2006,2010,Expired,Primary,No
4776,2006,2013,Expired,Primary,No
4802,2006,2012,Expired,Primary,No
4821,2006,2011,Expired,Primary,No
4828,2006,2010,Expired,Primary,No
4829,2006,2014,Expired,Primary,No
4831,2006,2010,Expired,Primary,No
4838,2006,2014,Expired,Primary,No
4840,2006,2012,Expired,Primary,No
4846,2006,2017,Active,Primary,Yes
4855,2006,2015,Expired,Primary,No
4861,2006,2013,Expired,Primary,No
4864,2006,2011,Expired,Primary,No
4867,2006,2010,Expired,Primary,No
4881,2006,2010,Expired,Primary,No
4883,2006,2015,Expired,Primary,No
4893,2006,2014,Expired,Primary,No
4896,2006,2012,Expired,Primary,No
4958,2006,2015,Expired,Primary,No
4966,2006,2011,Expired,Primary,No
4969,2006,2014,Expired,Primary,No
4974,2006,2017,Active,Primary,Yes
4975,2006,2011,Expired,Primary,No
4982,2006,2017,Active,Primary,Yes
4993,2006,2011,Expired,Primary,No
5006,2006,2017,Active,Primary,Yes
5008,2006,2014,Expired,Primary,No
5054,2006,2013,Expired,Primary,No
5066,2006,2018,Active,Primary,Yes
5067,2006,2017,Active,Primary,Yes
5068,2006,2010,Expired,Primary,No
5072,2006,2010,Expired,Primary,No
5085,2006,2015,Expired,Primary,No
5087,2006,2012,Expired,Primary,No
5104,2007,2017,Active,Primary,Yes
5108,2007,2013,Expired,Primary,No
5118,2007,2010,Expired,Primary,No
5134,2007,2009,Expired,Primary,No
5145,2007,2012,Expired,Primary,No
5148,2007,2013,Expired,Primary,No
5159,2007,2015,Expired,Primary,No
5166,2007,2011,Expired,Primary,No
5170,2007,2015,Expired,Primary,No
5173,2007,2012,Expired,Primary,No
5195,2007,2010,Expired,Primary,No
5196,2007,2017,Active,Primary,Yes
5232,2007,2010,Expired,Primary,No
5240,2007,2010,Expired,Primary,No
5241,2007,2011,Expired,Primary,No
5244,2007,2017,Active,Primary,Yes
5260,2007,2012,Expired,Primary,No
5264,2007,2015,Expired,Primary,No
5270,2007,2017,Active,Primary,Yes
5307,2007,2017,Active,Primary,Yes
5311,2007,2017,Active,Primary,Yes
5324,2007,2017,Active,Primary,Yes
5346,2007,2010,Expired,Primary,No
5353,2007,2016,Expired,Primary,Yes
5359,2007,2016,Expired,Primary,Yes
5379,2007,2015,Expired,Primary,No
5386,2007,2015,Expired,Primary,No
5391,2007,2017,Active,Primary,Yes
5393,2007,2012,Expired,Primary,No
5400,2007,2017,Active,Primary,Yes
5410,2007,2012,Expired,Primary,No
5414,2007,2010,Expired,Primary,No
5421,2007,2012,Expired,Primary,No
5424,2007,2015,Expired,Primary,No
5432,2007,2010,Expired,Primary,No
5441,2007,2017,Active,Primary,Yes
5442,2007,2010,Expired,Primary,No
5446,2007,2012,Expired,Primary,No
5452,2007,2017,Active,Primary,Yes
5457,2007,2014,Expired,Primary,No
5485,2007,2010,Expired,Primary,No
5504,2007,2011,Expired,Primary,No
5505,2007,2016,Expired,Primary,Yes
5523,2007,2014,Expired,Primary,No
5524,2007,2013,Expired,Primary,No
5526,2007,2010,Expired,Primary,No
5533,2007,2011,Expired,Primary,No
5562,2007,2010,Expired,Primary,No
5580,2007,2012,Expired,Primary,No
5588,2007,2017,Active,Primary,Yes
5594,2007,2015,Expired,Primary,No
5595,2007,2014,Expired,Primary,No
5597,2007,2017,Active,Primary,Yes
5606,2007,2011,Expired,Primary,No
5610,2007,2012,Expired,Primary,No
5617,2007,2017,Active,Primary,Yes
5662,2007,2012,Expired,Primary,No
5663,2007,2013,Expired,Primary,No
5666,2007,2017,Active,Primary,Yes
5667,2007,2015,Expired,Primary,No
5668,2007,2018,Active,Primary,Yes
5676,2007,2011,Expired,Primary,No
5683,2007,2017,Active,Primary,Yes
5698,2007,2017,Active,Primary,Yes
5702,2007,2011,Expired,Primary,No
5737,2007,2013,Expired,Primary,No
5762,2007,2010,Expired,Primary,No
5770,2007,2011,Expired,Primary,No
5814,2007,2013,Expired,Primary,No
5828,2007,2010,Expired,Primary,No
5842,2007,2012,Expired,Primary,No
5858,2007,2010,Expired,Primary,No
5874,2007,2012,Expired,Primary,No
5918,2007,2010,Expired,Primary,No
5939,2007,2015,Expired,Primary,No
5942,2007,2010,Expired,Primary,No
5957,2007,2015,Expired,Primary,No
5965,2007,2012,Expired,Primary,No
5974,2007,2011,Expired,Primary,No
6011,2007,2010,Expired,Primary,No
6031,2007,2014,Expired,Primary,No
6038,2007,2012,Expired,Primary,No
6041,2007,2013,Expired,Primary,No
6058,2007,2011,Expired,Primary,No
